YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,0,1,60700,1,72,1,2,1
2019,13,0,1,60700,0,44,0,2,1
2019,13,67,1,243600,1,54,1,1,2
2019,13,67,1,243600,0,53,1,1,2
2019,13,0,1,55000,1,48,1,2,1
2019,13,0,1,55000,0,39,1,1,2
2019,13,45,1,11200,1,65,2,1,1
2019,13,0,1,62000,1,64,3,1,2
2019,13,0,1,63100,0,66,1,1,2
2019,13,0,1,63100,1,67,1,1,2
2019,13,0,0,22600,0,41,2,2,1
2019,13,0,0,22600,1,51,0,2,1
2019,13,185,0,18000,1,65,1,1,1
2019,13,185,0,18000,0,70,1,1,1
2019,13,0,1,194100,1,49,1,1,2
2019,13,0,1,194100,0,47,1,1,2
2019,13,0,1,194100,1,72,3,1,2
2019,13,0,0,270200,0,63,1,1,2
2019,13,0,0,270200,1,65,1,1,3
2019,13,0,0,270200,0,30,1,1,2
2019,13,0,0,270200,1,28,1,1,2
2019,13,0,1,314800,0,60,1,1,2
2019,13,0,1,314800,1,66,1,1,2
2019,13,223,1,36300,0,71,4,1,1
2019,13,223,1,36300,1,65,0,1,2
2019,13,0,1,62000,0,42,0,2,2
2019,13,0,1,62000,1,44,3,2,2
2019,13,151,1,114000,0,59,1,1,1
2019,13,151,1,114000,1,69,1,1,1
2019,13,0,1,219700,1,71,1,2,2
2019,13,0,1,51200,0,68,1,1,2
2019,13,21,1,28600,1,69,1,2,1
2019,13,21,1,28600,0,58,1,2,2
2019,13,117,1,152500,0,53,1,1,2
2019,13,117,1,152500,1,53,1,1,2
2019,13,0,1,92000,0,62,4,2,2
2019,13,0,1,92000,0,30,0,2,3
2019,13,0,0,69000,1,66,1,1,1
2019,13,0,0,69000,0,57,1,1,1
2019,13,21,1,-2900,1,54,0,5,3
2019,13,0,0,46000,1,39,1,3,1
2019,13,0,0,46000,0,25,1,3,1
2019,13,117,1,169200,1,49,1,1,2
2019,13,117,1,169200,0,46,1,1,1
2019,13,223,1,36000,1,60,0,1,1
2019,13,223,1,36000,0,37,0,1,2
2019,13,0,0,31000,1,52,3,2,2
2019,13,0,1,133300,1,59,0,2,2
2019,13,0,1,54000,1,53,3,2,2
2019,13,0,0,59900,1,36,3,5,2
2019,13,0,1,76000,1,54,1,1,2
2019,13,0,1,76000,0,38,1,1,2
2019,13,15,1,105000,0,24,0,1,2
2019,13,15,1,105000,0,52,3,1,2
2019,13,51,1,164100,0,44,1,2,3
2019,13,51,1,164100,1,43,1,2,2
2019,13,0,1,21500,0,54,3,1,1
2019,13,0,1,21500,0,33,0,1,1
2019,13,0,1,256000,0,52,1,1,2
2019,13,0,1,256000,0,54,1,1,2
2019,13,59,1,63800,0,25,0,1,2
2019,13,59,1,63800,1,26,0,1,3
2019,13,67,0,65000,1,53,3,1,1
2019,13,135,1,315000,1,40,1,2,3
2019,13,135,1,315000,0,37,1,2,3
2019,13,135,1,315000,0,65,3,2,2
2019,13,135,1,68000,0,45,1,1,1
2019,13,135,1,68000,1,53,1,1,1
2019,13,67,0,34200,0,73,3,1,1
2019,13,0,1,20000,0,57,3,2,1
2019,13,0,0,60000,0,28,0,2,1
2019,13,0,0,60000,1,28,0,2,1
2019,13,0,0,7200,0,66,4,5,1
2019,13,67,1,46800,0,72,3,2,2
2019,13,0,1,162200,0,62,2,2,1
2019,13,0,1,162200,0,36,0,2,1
2019,13,0,1,19000,0,57,3,1,1
2019,13,0,1,19000,1,60,3,1,1
2019,13,97,1,20000,1,55,3,1,1
2019,13,97,0,42000,0,26,0,1,2
2019,13,63,1,130000,1,46,1,1,1
2019,13,63,1,130000,0,43,1,1,2
2019,13,0,1,74000,1,57,1,1,1
2019,13,0,1,74000,0,61,1,1,2
2019,13,0,1,74000,1,27,0,1,2
2019,13,135,0,92000,1,57,3,1,1
2019,13,139,1,21500,1,60,1,1,1
2019,13,139,1,21500,0,67,1,1,1
2019,13,67,1,98000,1,38,1,1,3
2019,13,67,1,98000,0,40,1,1,3
2019,13,0,1,63400,1,68,1,1,2
2019,13,0,1,63400,0,61,1,1,2
2019,13,51,0,23000,0,31,3,1,1
2019,13,0,0,11400,0,68,3,2,1
2019,13,0,1,189000,1,63,1,1,2
2019,13,0,1,189000,0,61,1,1,2
2019,13,0,1,189000,0,29,0,1,2
2019,13,0,1,17300,1,63,0,1,1
2019,13,139,1,15000,1,58,0,1,1
2019,13,63,0,46000,0,37,0,2,3
2019,13,0,1,99000,0,63,4,1,2
2019,13,0,1,99000,1,36,0,1,1
2019,13,57,1,166040,0,50,1,1,3
2019,13,57,1,166040,1,56,1,1,1
2019,13,151,1,37100,1,72,1,1,1
2019,13,151,1,37100,0,62,1,1,2
